user_id,username,location,birth_date,genre_preferences,language,film_ratings
999,dodicin,it,1996-02-18,"Animation","it,en,ja","[(12140, 4), (4977, 4), (18491, 5), (11299, 3), (378064, 5)]"
1000,geralt,it,1995-8-10,"Adventure, Fantasy, Family","it","[(1371, 2.5), (2105, 4.0), (2193, 2.0), (2294, 2.0), (1405, 1.0)]"
1001,villons,it,1996-07-28,"Adventure, History, Action, Mystery, Fantasy, War","it, en","[(857, 5), (123, 4), (269198, 5), (28, 2), (9477, 4)]"
1002,mark,en,1999-2-23,"Comedy, Drama",en,"[(527, 4.0), (110, 4.0), (319, 1.0), (62, 3.0), (223, 1.0)]"
1003,luis,fr,1993-6-20,"Crime, Science Fiction","en, fr, it","[(527, 3.0), (110, 4.0), (595, 2.0), (377, 2.5), (267, 3.0)]"
1004,aria,de,1990-6-20,Fantasy,"fr, it, de","[(2054, 1.0), (2086, 5.0), (2064, 5.0), (2788, 5.0), (2124, 4.0)]"
1005,frank,usa,1999-10-10,Animation,en,"[(788, 3.5), (858, 2.5), (500, 4.5), (595, 4.0), (903, 1)]"
1006,sansa,dk,1994-3-12,"Drama, Family, Romance","da, en","[(1909, 3.0), (2019, 4.0), (173, 2.0), (903, 4.0), (1639, 1.0)]"
1007,jon,hu,1992-4-2,"Horror, Mystery, Foreign","mk, hu, ru","[(240789, 1.0), (38326, 5.0), (97797, 3.0), (264269, 2.0), (63266, 5.0)]"
1008,daenerys,bg,1994-12-12,"Mystery, War, Adventure"," ro, tr, ar, bg","[(14784, 2.0), (13255, 4.0), (18497, 5.0), (53000, 4.0), (12311, 5.0)]"
1009,mikasa,ja,1992-2-5,"Fantasy, Adventure, Crime, Romance","ja, zh","[(527, 5.0), (1411, 1.0), (2762, 4.0), (2028, 4.0), (1680, 4.0)]"
