user_id,username,location,birth_date,genre_preferences,language,film_ratings,bow
999,dodicin,it,1996-02-18,"Animation, Science Fiction, History, Mystery","it,en,ja","[(12140, 3), (4977, 4.0), (18491, 5), (11299, 3.5), (378064, 5), (128, 4.5), (110420, 5), (149870, 4), (10494, 4), (372058, 2), (38142, 1.5), (81, 3), (315465, 2), (13398, 3), (4935, 3), (15999, 3.5), (14069, 2.5), (13980, 2.5), (129, 4), (36865, 4.5)]","([[0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.12964808005296952, 0.16730697185521642, 0.1452779323321866, 0.1452779323321866, 0.1452779323321866, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.1452779323321866, 0.16730697185521642, 0.33461394371043285, 0.16730697185521642, 0.1452779323321866, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.12964808005296952, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.16730697185521642, 0.1452779323321866, 0.16730697185521642, 0.16730697185521642], ['actress', 'alter', 'anger', 'around', 'becom', 'begin', 'brutal', 'career', 'claim', 'collaps', 'compromis', 'cowork', 'ego', 'fan', 'humili', 'idol', 'kirigo', 'leav', 'mad', 'mima', 'moment', 'move', 'plagu', 'pop', 'prefer', 'real', 'see', 'selfdoubt', 'singer', 'slain', 'sleep', 'stalk', 'torment', 'trio', 'wake']],)"
1000,geralt,it,1995-8-10,"Adventure, Fantasy, Family",it,"[(43464, 2.5), (17223, 4.0), (172747, 2.0), (63432, 2.0), (80653, 1.0), (69841, 3.5), (128268, 4.0), (45592, 1.0), (47940, 5), (66247, 3.0), (414453, 4.5), (213204, 5), (128571, 2.0), (265189, 5), (280477, 4.0), (80284, 3.5), (100671, 4.0), (45527, 4.5), (460135, 5), (80831, 3.0)]","([[0.7071067811865476, 0.7071067811865476], ['found', 'overview']],)"
1001,villons,it,1996-07-28,"Adventure, History, Action, Mystery, Fantasy, War","it, en","[(857, 5), (123, 4.5), (269198, 5), (28, 2.0), (197, 5), (331214, 5), (190859, 3.0), (98, 4.0), (27205, 4.0), (106646, 5), (11324, 5), (281957, 1.0), (9479, 3.5), (3933, 4.0), (51876, 2.5), (16869, 3.0), (2253, 5), (53457, 5), (17720, 2.5), (45269, 5)]","([[0.17141826324385098, 0.19683481331097497, 0.17141826324385098, 0.39366962662194993, 0.19683481331097497, 0.19683481331097497, 0.19683481331097497, 0.13939719710921683, 0.19683481331097497, 0.19683481331097497, 0.17141826324385098, 0.19683481331097497, 0.17141826324385098, 0.19683481331097497, 0.19683481331097497, 0.19683481331097497, 0.17141826324385098, 0.19683481331097497, 0.19683481331097497, 0.19683481331097497, 0.17141826324385098, 0.17141826324385098, 0.19683481331097497, 0.19683481331097497, 0.19683481331097497], ['bride', 'childhood', 'countri', 'english', 'enrag', 'entir', 'eventu', 'lead', 'local', 'lord', 'love', 'murron', 'new', 'platoon', 'revolt', 'rise', 'rule', 'scottish', 'slaughter', 'slay', 'soldier', 'villag', 'wallac', 'warrior', 'william']],)"
1002,mark,en,1999-2-23,"Comedy, Drama",en,"[(55738, 4.0), (39346, 4.0), (375867, 1.0), (89993, 3.0), (67317, 1.0), (420346, 4.0), (174271, 3.0), (365451, 2.0), (440143, 3.5), (411405, 1.5), (461257, 4.0), (289923, 5), (183088, 1.5), (63320, 3.5), (348391, 1.0), (67713, 3.0), (116336, 4.5), (428612, 1.5), (134750, 3.5), (411012, 3.5)]","([[0.11803340251469072, 0.11803340251469072, 0.10178768425123971, 0.10178768425123971, 0.10178768425123971, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.23606680502938143, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.08132049977715648, 0.11803340251469072, 0.10178768425123971, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.3541002075440722, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.3541002075440722, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.23606680502938143, 0.11803340251469072, 0.11803340251469072, 0.11803340251469072, 0.10178768425123971, 0.09026116370720669, 0.11803340251469072], ['27year', 'ask', 'best', 'born', 'boss', 'bublion', 'charg', 'comedi', 'commit', 'day', 'dream', 'dude', 'elev', 'extent', 'fall', 'find', 'friend', 'get', 'go', 'gorgeou', 'head', 'highenergi', 'insati', 'jessica', 'knock', 'live', 'love', 'meet', 'miami', 'mob', 'mom', 'number', 'old', 'pass', 'perfect', 'pete', 'protect', 'psychic', 'romant', 'rooki', 'ryan', 'search', 'slick', 'stockbrok', 'surfer', 'tiara', 'true', 'uncl', 'vincent', 'woman', 'women', 'yet']],)"
1003,luis,fr,1993-6-20,"Crime, Science Fiction","en, fr, it","[(407448, 3.0), (64502, 4.0), (390582, 2.0), (334521, 2.5), (429238, 3.0), (222848, 3.5), (36680, 5), (36139, 2.5), (429524, 4.5), (374430, 2.0), (30840, 3.5), (258907, 4.5), (69483, 1.5), (442750, 2.5), (390747, 3.5), (352494, 4.0), (436450, 4.5), (167556, 2.5), (408543, 2.5), (335988, 5)]","([[0.24406073007854437, 0.2096021900362699, 0.24406073007854437, 0.24406073007854437, 0.24406073007854437, 0.24406073007854437, 0.24406073007854437, 0.24406073007854437, 0.2096021900362699, 0.24406073007854437, 0.18515346679278993, 0.24406073007854437, 0.24406073007854437, 0.24406073007854437, 0.24406073007854437, 0.24406073007854437, 0.24406073007854437, 0.2096021900362699], ['10', 'break', 'crisi', 'dare', 'destroy', 'four', 'hatch', 'high', 'million', 'mint', 'one', 'plan', 'rais', 'school', 'step', 'teen', 'threaten', 'us']],)"
1004,aria,de,1990-6-20,Fantasy,"fr, it, de","[(26452, 1.0), (2086, 5), (2064, 5), (2788, 5), (2124, 4.0), (49277, 3.0), (70752, 5), (67451, 1.0), (51122, 4.0), (34577, 4.5), (24177, 3.5), (41289, 5), (4562, 1.5), (60194, 4.5), (83750, 4.0), (451955, 3.5), (248705, 5), (67179, 1.5), (104308, 5), (68637, 4.5)]","([[0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.18452013237233544, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.18452013237233544, 0.21187932440989704, 0.21187932440989704, 0.18452013237233544, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704, 0.21187932440989704], ['6yearold', 'accompani', 'account', 'angel', 'approach', 'arriv', 'daughter', 'gene', 'jone', 'lo', 'look', 'lynn', 'name', 'ordinari', 'pair', 'peopl', 'public', 'sinist', 'smith', 'station', 'train', 'union', 'watson']],)"
1005,frank,usa,1999-10-10,Animation,en,"[(396330, 3.5), (277834, 2.5), (455661, 4.5), (268531, 4.0), (264170, 1), (455661, 4.5), (14885, 1.5), (459802, 5), (84493, 3.5), (322487, 5), (30840, 4.5), (390959, 2.5), (657, 5), (434166, 4.5), (433630, 2.0), (204997, 1.5), (296834, 4.5), (134750, 4.5), (44341, 5), (381019, 4.5), (76498, 5)]","([[0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.4009045654185012, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.11566271122078467, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.2672697102790008, 0.1336348551395004, 0.1336348551395004, 0.11566271122078467, 0.1336348551395004, 0.11566271122078467, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.2672697102790008, 0.1336348551395004, 0.1336348551395004, 0.2672697102790008, 0.11566271122078467, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004, 0.1336348551395004], ['007', 'agent', 'back', 'battl', 'bond', 'crime', 'deadli', 'decod', 'devic', 'encount', 'enemi', 'escap', 'help', 'instal', 'istanbul', 'jame', 'klebb', 'known', 'kronsteen', 'lektor', 'life', 'lure', 'meet', 'must', 'organ', 'ravish', 'reli', 'rosa', 'russian', 'second', 'secret', 'seri', 'snatch', 'spectr', 'tatiana', 'time', 'travel', 'use', 'willingli', 'wit']],)"
1006,sansa,dk,1994-3-12,"Drama, Family, Romance","da, en","[(369697, 3.0), (328212, 4.0), (22749, 2.0), (384160, 4.0), (436352, 1.0), (695, 4.5), (366071, 2.0), (145, 1.0), (4820, 3.0), (4215, 1.5), (204611, 3.5), (345915, 5), (353491, 1.0), (465044, 4.5), (222383, 1.5), (417870, 5), (460135, 2.0), (67758, 3.0), (461257, 5), (429039, 1.0)]","([[0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.15747821891992614, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.18423599201757668, 0.15747821891992614, 0.18423599201757668], ['22', 'altman', 'american', 'base', 'carver', 'charact', 'condit', 'contemporari', 'cultur', 'disturb', 'emot', 'fascin', 'fishey', 'fleetingli', 'gamut', 'human', 'humor', 'intersect', 'live', 'look', 'multistori', 'nevertheless', 'nine', 'poem', 'portrait', 'profoundli', 'prose', 'raymond', 'run', 'stori']],)"
1007,jon,hu,1992-4-2,"Horror, Mystery, Foreign","mk, hu, ru","[(240789, 1.0), (38326, 5), (97797, 3.0), (264269, 2.0), (63266, 5), (337758, 2.5), (78363, 4.0), (38326, 5), (97797, 3.0), (329013, 2.5), (143876, 4.5), (313556, 5), (37174, 3.0), (181564, 2.5), (446850, 4.0), (196633, 5), (68553, 3.5), (29299, 2.0), (52891, 4.0), (62997, 5), (26841, 3.5)]","([[0.11538725202306356, 0.23077450404612712, 0.09986917257007322, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.09986917257007322, 0.11538725202306356, 0.11538725202306356, 0.19973834514014643, 0.11538725202306356, 0.11538725202306356, 0.23077450404612712, 0.3461617560691907, 0.23077450404612712, 0.19973834514014643, 0.08885891997808756, 0.11538725202306356, 0.17771783995617513, 0.11538725202306356, 0.09986917257007322, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.11538725202306356, 0.09986917257007322, 0.09986917257007322, 0.11538725202306356, 0.11538725202306356, 0.46154900809225424, 0.07334084052509719], ['70', 'art', 'becom', 'caught', 'childhood', 'coupl', 'daughter', 'downth', 'dull', 'find', 'forc', 'generos', 'grandmoth', 'hannah', 'life', 'live', 'love', 'model', 'mother', 'muse', 'new', 'other', 'pari', 'peculiar', 'photograph', 'pictur', 'pose', 'quickli', 'quiet', 'result', 'scene', 'sensat', 'statur', 'tenyearold', 'trendi', 'turn', 'unpredict', 'upsid', 'violetta', 'young']],)"
1008,daenerys,bg,1994-12-12,"Mystery, War, Adventure"," ro, tr, ar, bg","[(14784, 2.0), (13255, 4.0), (18497, 5), (5, 4.0), (12311, 5), (240789, 3.5), (38326, 4.0), (6029, 1.0), (42642, 5), (143876, 3.0), (51273, 4.5), (143117, 5), (42652, 2.0), (63898, 5), (152155, 4.0), (70061, 3.5), (307649, 4.0), (63568, 4.5), (261871, 5), (70965, 3.0)]","([[0.2057794324426114, 0.23566609737254213, 0.23566609737254213, 0.2057794324426114, 0.23566609737254213, 0.2057794324426114, 0.23566609737254213, 0.23566609737254213, 0.23566609737254213, 0.1546878412840573, 0.23566609737254213, 0.2057794324426114, 0.23566609737254213, 0.23566609737254213, 0.23566609737254213, 0.2057794324426114, 0.2057794324426114, 0.23566609737254213, 0.23566609737254213, 0.23566609737254213], ['anoth', 'bellhop', 'even', 'first', 'guest', 'happen', 'hotel', 'job', 'night', 'one', 'outrag', 'place', 'predica', 'room', 'seem', 'serv', 'servic', 'ted', 'unbeliev', 'unusu']],)"
